id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
klay-token,klay,Klaytn,https://coin-images.coingecko.com/coins/images/9672/large/klaytn.png?1696509742,0.138439,806210935,89,806510463,24608553,0.144182,0.137493,-0.001864410105566455,-1.32884,-8034761.565320611,-0.98677,5806693656.94806,5808850993.57236,,4.34,-96.80008,2021-03-30T03:44:28.828Z,0.06044,129.71989,2020-04-29T08:19:34.574Z,,2024-09-01T17:43:35.153Z
bittorrent,btt,BitTorrent,https://coin-images.coingecko.com/coins/images/22457/large/btt_logo.png?1696521780,8.2815e-07,802024202,90,820043262,17956171,8.55598e-07,8.26693e-07,-1.9983925747e-08,-2.35622,-18963920.54804814,-2.30989,968246428571000.0,990000000000000.0,990000000000000.0,3.43e-06,-75.86512,2022-01-21T04:00:31.909Z,3.65368e-07,126.66195,2023-10-13T05:10:41.241Z,,2024-09-01T17:44:35.788Z
fasttoken,ftn,Fasttoken,https://coin-images.coingecko.com/coins/images/28478/large/lightenicon_200x200.png?1696527472,2.46,799585887,91,2162802404,72077418,2.47,2.41,0.04462295,1.84989,14994247.0,1.91109,325335120.37373453,880000000.0,1000000000.0,2.6,-5.4872,2024-08-27T18:23:15.020Z,0.398142,516.01527,2023-01-21T10:15:39.503Z,,2024-09-01T17:44:39.052Z
elrond-erd-2,egld,MultiversX,https://coin-images.coingecko.com/coins/images/12335/large/egld-token-logo.png?1696512162,27.56,753728053,93,753869982,13822539,29.01,27.38,-1.3449660932565095,-4.65304,-37168413.95302904,-4.69953,27360182.0,27365334.0,31415926.0,545.64,-94.95132,2021-11-23T10:33:26.737Z,6.51,323.3748,2020-10-07T01:44:53.554Z,,2024-09-01T17:44:37.603Z
usdd,usdd,USDD,https://coin-images.coingecko.com/coins/images/25380/large/UUSD.jpg?1696524513,1.0,753639509,92,753639509,2240360,1.005,0.994069,-0.000223851266862862,-0.02238,-80909.62254178524,-0.01073,753457941.493242,753457941.493242,,1.052,-5.10986,2023-10-23T22:45:25.398Z,0.928067,7.54316,2022-06-19T16:15:11.558Z,,2024-09-01T17:44:41.897Z
mantra-dao,om,MANTRA,https://coin-images.coingecko.com/coins/images/12151/large/OM_Token.png?1696511991,0.881707,743447187,94,783765936,13547170,0.911909,0.880492,-0.022796476155153234,-2.52033,-18781555.10664022,-2.46403,843162368.65,888888888.0,888888888.0,1.41,-37.64861,2024-07-21T23:11:14.036Z,0.01726188,5007.09206,2023-10-12T17:25:09.068Z,,2024-09-01T17:44:39.895Z
based-brett,brett,Brett,https://coin-images.coingecko.com/coins/images/35529/large/1000050750.png?1709031995,0.074023,733202588,95,733202588,23604234,0.080716,0.072754,-0.006233494923168729,-7.767,-63047600.8840363,-7.91806,9910172676.7225,9910172676.71268,9999998988.0,0.193328,-61.68169,2024-06-09T12:55:51.835Z,0.00084753,8640.71657,2024-02-29T08:40:24.951Z,,2024-09-01T17:44:34.867Z
flare-networks,flr,Flare,https://coin-images.coingecko.com/coins/images/28624/large/FLR-icon200x200.png?1696527609,0.01550751,720447042,96,1589261938,3711697,0.0161673,0.01550192,-0.000573984992160244,-3.56923,-26817609.95494008,-3.58877,46459253314.1536,102486260077.738,,0.150073,-89.6496,2023-01-10T03:14:05.921Z,0.00827405,87.73322,2023-10-19T03:35:41.663Z,,2024-09-01T17:43:55.884Z
eos,eos,EOS,https://coin-images.coingecko.com/coins/images/738/large/eos-eos-logo.png?1696501893,0.461054,696663967,97,967640750,57642091,0.482625,0.460367,-0.019062670086666844,-3.97043,-29015270.058416963,-3.99836,1511918892.6293,2100000000.0,2100000000.0,22.71,-97.97059,2018-04-29T07:50:33.540Z,0.408029,12.95866,2024-08-05T06:45:13.453Z,"{'times': -0.5342893757899841, 'currency': 'usd', 'percentage': -53.428937578998415}",2024-09-01T17:44:37.536Z
beam-2,beam,Beam,https://coin-images.coingecko.com/coins/images/32417/large/chain-logo.png?1698114384,0.01342715,686905007,98,837466221,25289454,0.01479788,0.01337369,-0.001329352362741598,-9.00859,-68805826.92051935,-9.10478,51209507703.0,62434008330.0,62434008330.0,0.04416304,-69.54517,2024-03-10T10:40:22.381Z,0.0043383,210.02404,2023-10-29T08:20:14.064Z,,2024-09-01T17:44:34.762Z
